Row,ammoniumhydroxide,putrescine,cadaverine,g-butyrolactone,g-hexalactone,g-octalactone,g-decalactone,d-decalactone,methanoicacid,acetic acid,propionic acid,butyric acid,pentanoic acid,hexanoic acid,heptanoic acid,octanoic acid,nonionic acid,linoleum acid,isobutyric acid,isopentanoic acid,pyretic acid,2-ethylhexanoic acid,lactic acid,3-methylthio-1-propanol,dimethyl sulfide,terpinolene,a-pinene,b-pinene,(1S)-(+)-3-carene,limonene,a-humulene,b-myrcene,(-)-trans-caryophyllene,p-cymene,geranyl acetate,a-terpineol,geraniol,nerol,linalool,b-citronellol,linalool oxide,acetaldehyde,propanal,butanal,pentanal,hexanal,E2-hexenal,furfural,2-propenal,acetone,2-butanone,2-pentanone,2-heptanone,6-methyl-5-hepten-2-one,2 3-butanedione,phenethyl alcohol,benzyl alcohol,methyl salicylate,methyl benzoate,ethyl benzoate,phenethyl acetate,benzaldehyde,phenylacetaldehyde,acetophenone,ethylcinnamate,2-methylphenol,4-ethylguaiacol,eugenol,methanol,ethanol,1-propanol,1-butanol,1-pentanol,1-hexanol,1-octanol,2-pentanol,3-methylbutanol,3-methyl-2-buten-1-ol,1-penten-3-ol,1-octen-3-ol,E2-hexenol,Z2-hexenol,E3-hexenol,Z3-hexenol,glycerol,2 3-butanediol,methyl acetate,ethyl acetate,propyl acetate,butyl acetate,pentyl acetate,hexyl acetate,isobutyl acetate,isopentyl acetate,E2-hexenyl acetate,methyl butyrate,ethyl butyrate,hexyl butyrate,ethyl 3-hydroxybutyrate,ethyl propionate,ethyl methanoate,methyl hexanoate,ethyl hexanoate,hexyl hexanoate,methyl octanoate,ethyl octanoate,ethyl decanoate,ethyl trans-2-butenoate,ethyl lactate,diethyl succinate,ethyl acetate -2,pentyl acetate -2,ethyl butyrate -2,methyl salicylate -2,1-hexanol -2,1-octen-3-ol -2,E2-hexenal -2,2 3-butanedione -2,2-heptanone -2,geranyl acetate -2,ethyl acetate -4,pentyl acetate -4,ethyl butyrate -4,methyl salicylate -4,1-hexanol -4,1-octen-3-ol -4,E2-hexenal -4,2 3-butanedione -4,2-heptanone -4,geranyl acetate -4,ethyl acetate -6,pentyl acetate -6,ethyl butyrate -6,methyl salicylate -6,1-hexanol -6,1-octen-3-ol -6,E2-hexenal -6,2 3-butanedione -6,2-heptanone -6,geranyl acetate -6,ethyl acetate -8,pentyl acetate -8,ethyl butyrate -8,methyl salicylate -8,1-hexanol -8,1-octen-3-ol -8,E2-hexenal -8,2 3-butanedione -8,2-heptanone -8,geranyl acetate -8,apple pure,apricot pure,banana pure,cherry pure,mango pure,peach pure,pineapple pure,raspberry pure,strawberry pure,apple -2,apricot -2,banana -2,cherry -2,mango -2,peach -2,pineapple -2,raspberry -2,strawberry -2,apple -4,apricot -4,banana -4,cherry -4,mango -4,peach -4,pineapple -4,raspberry -4,strawberry -4,apple -6,apricot -6,banana -6,cherry -6,mango -6,peach -6,pineapple -6,raspberry -6,strawberry -6
non-hallem11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dl1,10,-26,-17,-6,18,18,-2,-11,0,18,36,33,22,19,-1,-1,2,4,29,24,23,5,34,5,-16,-7,-2,-12,-12,-5,-9,-9,-6,-8,-8,-10,-6,-12,-14,-10,1,25,-1,-2,6,28,-8,34,-7,0,7,19,17,8,22,-16,-5,258,265,268,-12,123,64,254,-7,-17,2,64,5,12,-4,-5,11,10,-18,17,-6,-5,-7,-6,-8,-15,13,-5,-8,-5,9,6,67,128,-1,-19,212,208,-4,43,29,-1,68,38,3,17,-14,-1,-13,-14,43,146,31,-13,6,-1,29,258,10,-6,-8,22,17,-8,9,-6,-1,220,-5,-4,-4,1,-8,-7,-2,1,-1,84,2,-5,3,3,14,-8,6,-4,5,5,3,2,-1,-3,0,3,28,5,117,43,49,1,30,42,116,20,-2,19,19,15,4,11,27,45,12,-3,16,-9,-3,-7,-3,-5,2,8,-3,1,3,3,9,4,10,6
non-hallem13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dl3,3,-2,-1,6,18,20,-2,-5,5,4,8,9,2,7,-1,-1,-6,8,2,3,8,3,2,-2,-6,-4,1,-6,-3,-3,-2,-1,-1,-8,-7,4,-2,5,2,-1,3,13,-7,-4,1,13,-2,-1,2,-7,-2,12,35,49,8,-6,-3,-13,-2,-6,17,-10,3,12,2,-18,-8,-7,3,2,-5,-2,1,7,-4,8,-1,4,-1,16,4,-6,7,-6,-3,-6,-3,0,2,23,34,42,4,10,36,3,-8,8,39,4,3,19,7,-2,22,7,-4,2,31,5,0,34,-8,-13,7,16,-2,8,35,-7,-1,8,-1,-3,-1,2,-1,0,24,0,0,0,2,2,1,5,1,1,-4,4,0,2,1,-1,1,5,3,3,1,3,15,5,26,9,9,7,9,13,18,22,3,18,1,2,4,1,5,13,8,-2,21,-2,3,4,8,3,10,0,-2,-5,-6,-4,-1,0,-1,-1
dl4,17,8,16,23,54,31,-5,-1,0,11,15,21,11,21,5,7,5,7,14,14,10,16,10,42,21,5,18,1,4,1,-4,2,5,4,-2,-2,1,5,4,-5,44,24,8,18,26,43,35,59,2,18,41,52,40,34,14,8,25,5,46,21,7,49,20,84,-11,31,14,12,6,2,22,28,56,64,10,58,41,37,40,31,63,50,71,55,2,9,12,12,48,56,35,2,39,27,11,30,26,1,72,26,8,33,10,9,1,1,-2,24,77,12,12,35,26,5,64,31,35,14,40,-2,12,15,1,-4,1,-2,3,0,22,-2,-3,0,-5,-3,0,-3,-1,-6,19,-1,3,0,2,4,2,3,-2,1,6,3,112,70,97,68,67,60,67,80,77,6,-4,14,-4,-5,1,-3,-2,-1,11,0,16,2,3,2,0,4,3,-1,-5,-6,-4,-7,-6,-6,-1,-6
dl5,-21,-36,-41,34,-39,-22,-12,-15,-14,-11,5,42,22,3,-6,-7,-10,136,8,-4,55,1,-2,29,-8,6,20,-11,4,4,10,9,4,-1,1,5,1,10,31,21,-14,165,-16,54,171,177,221,176,31,-10,9,2,-2,-24,13,3,5,-6,-27,-20,-13,200,43,10,-6,-27,-10,-10,22,33,180,195,166,96,-18,78,157,196,124,9,180,151,154,150,-2,-15,-6,6,-4,-19,-4,-19,38,-33,204,-1,1,-4,-27,85,108,40,-13,-4,-7,-7,-12,-2,31,-11,6,-4,1,-6,96,9,221,13,-2,1,10,3,2,-6,5,0,251,2,9,7,14,10,9,8,8,10,204,2,-4,4,-5,-9,-10,-12,-10,-8,23,-12,-7,-5,210,165,203,206,143,159,136,181,197,183,38,200,109,25,39,16,128,168,123,7,101,2,4,0,3,4,11,10,6,10,7,6,0,1,1,-4
non-hallem18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm2,13,12,13,43,140,41,16,11,-8,32,37,117,45,117,12,0,7,3,34,41,35,19,36,38,13,19,33,10,11,34,9,19,8,18,1,63,28,37,52,25,25,71,36,53,69,139,49,29,32,38,84,148,111,85,48,46,40,-2,43,49,40,32,44,32,12,9,7,7,55,55,58,120,179,63,53,113,104,101,58,121,87,111,82,81,4,50,54,53,198,212,158,172,251,232,194,220,193,39,138,188,13,256,224,31,237,95,6,210,70,205,53,158,193,-2,63,121,49,48,111,1,18,109,152,7,15,32,1,5,46,-1,2,13,22,3,1,5,10,6,25,7,-3,0,0,0,-2,0,-1,-1,0,-3,248,139,245,130,243,161,234,234,237,138,20,118,17,105,35,100,80,139,38,1,17,0,21,-1,21,10,64,7,-2,1,2,4,0,1,-1,5
dm3,16,-9,-8,6,24,17,-3,0,-20,2,7,17,14,9,1,5,-4,22,14,11,16,21,14,200,-2,8,18,-4,5,25,6,-2,5,12,-2,12,1,0,20,-1,25,55,12,20,28,46,37,6,8,3,16,74,209,40,25,9,8,-6,38,27,24,22,27,38,-1,-11,-2,0,13,9,16,24,62,58,7,77,24,19,39,90,31,30,28,52,2,2,25,86,214,205,241,201,183,122,59,148,74,17,76,55,-3,210,138,-1,58,18,-3,44,29,36,86,241,74,-6,58,90,37,25,209,-2,18,220,17,3,12,20,4,6,78,0,3,89,0,-1,-2,-2,-3,-1,26,-2,10,13,3,4,-2,3,0,-1,-2,2,250,115,238,94,108,106,144,114,183,122,15,119,9,16,15,22,28,50,26,0,30,1,4,2,5,6,7,10,6,7,7,12,13,5,3,4
dm4,5,2,7,16,18,0,-4,2,2,24,24,34,24,29,16,5,7,9,30,28,20,21,16,31,64,12,0,-4,-4,-5,-1,-5,12,-1,37,-8,1,-8,-8,-2,18,62,12,9,11,17,3,50,19,130,144,60,25,0,97,2,14,-4,-2,-5,34,6,7,5,-2,-7,6,21,18,13,12,44,55,35,-7,39,25,26,39,15,20,26,32,42,-4,10,269,177,66,48,65,39,44,46,45,136,39,2,35,99,27,2,-8,7,-8,-2,3,-7,133,-9,177,65,39,-4,35,15,3,97,25,37,55,3,0,0,2,0,2,26,24,0,0,1,0,1,1,2,1,0,9,-2,2,2,1,0,4,-1,-5,-1,4,2,165,146,158,65,106,135,151,140,172,42,30,44,6,9,29,27,24,28,2,1,8,-1,-1,5,0,-1,-1,0,-1,-1,1,1,0,3,-2,3
dm5,-6,-13,-11,-8,-3,-13,-11,1,14,1,-6,-10,-3,-11,1,-5,1,2,-7,1,-9,-1,-11,25,-8,-6,-1,3,8,3,-4,3,1,-1,-1,-12,-4,-2,-16,8,9,35,15,5,-2,20,11,-2,19,-5,1,-8,33,-7,40,3,-4,2,4,-14,-8,7,10,-25,-7,-14,-6,-4,14,17,0,2,47,137,4,45,-15,11,20,40,68,9,149,87,1,13,-10,65,-13,-11,30,-9,-23,-16,0,3,125,40,210,44,1,-16,-22,5,-12,-8,-20,91,39,-12,65,30,125,2,137,40,11,40,33,-1,6,-1,42,6,15,8,-1,0,3,3,5,-2,3,2,-1,4,2,3,5,-2,-1,4,4,0,-2,2,1,7,4,-2,87,26,80,25,162,24,85,30,123,51,11,48,3,53,1,18,14,50,2,5,3,0,-8,2,-9,-5,5,-6,-1,-6,-4,0,-1,-3,1,-1
dm6,16,-4,-8,125,47,25,7,2,12,-5,49,132,207,20,1,-9,-4,-1,-1,46,5,-4,3,51,1,34,7,-6,2,2,1,37,-6,-2,7,19,49,14,84,6,35,12,5,62,45,29,117,182,21,27,67,70,170,234,84,236,116,35,208,198,185,200,153,184,75,57,4,7,3,4,16,65,148,173,44,33,67,215,8,164,109,105,160,116,-2,13,7,43,75,164,216,50,31,129,73,115,167,62,96,11,-2,87,143,-3,-7,-10,-7,104,39,175,43,216,167,35,173,164,117,84,170,7,-6,74,30,-3,8,9,8,-7,36,-1,7,6,-7,7,-3,5,0,-2,-4,-2,0,-2,3,1,-1,0,1,-2,-2,2,198,94,209,170,151,108,125,119,171,181,58,198,119,101,48,85,69,126,6,-1,20,-12,-13,-10,-13,-11,-1,8,6,-4,-5,3,-2,10,5,-1
non-hallem25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non-hallem27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
