source,target,weight,source_cell_class,source_cell_type,source_hemibrain_type,source_side,target_cell_class,target_cell_type,target_hemibrain_type,target_side
720575940611372714,720575940634510703,7.0,ALPN,,VM5d_adPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940632128908,720575940634510703,6.0,ALPN,CB3206,"VP1m+VP2_lvPN1,VP1m+VP2_lvPN2",left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940627245585,720575940608399115,6.0,ALPN,,VP4_vPN,left,Kenyon_Cell,,KCg-d,left
720575940627245585,720575940619152110,20.0,ALPN,,VP4_vPN,left,Kenyon_Cell,,KCg-m,left
720575940627245585,720575940628134266,1.0,ALPN,,VP4_vPN,left,Kenyon_Cell,,KCg-d,left
720575940648650884,720575940610391854,1.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,,KCg-d,left
720575940648650884,720575940611196110,15.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940630131663,720575940611196110,19.0,ALPN,,DC3_adPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940648650884,720575940619684299,14.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940648650884,720575940622060426,14.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940613419695,720575940622060426,1.0,ALPN,,DC3_adPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940648650884,720575940629735163,23.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,left
720575940648650884,720575940633023935,1.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,,KCg-d,left
720575940648650884,720575940637169636,27.0,ALPN,,DP1l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940630131663,720575940637169636,20.0,ALPN,,DC3_adPN,left,Kenyon_Cell,,KCg-m,left
720575940620465904,720575940637169636,8.0,ALPN,VC3_adPN,VC3l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940629011655,720575940604935340,15.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940605083838,1.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940605083838,1.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940605552742,2.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940606967682,8.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940608768213,8.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940609226702,10.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940609873358,8.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940610784179,5.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,right
720575940629011655,720575940611855729,7.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940612190693,1.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940612647282,3.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940614742687,13.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940614770847,19.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940615289759,5.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,right
720575940629011655,720575940616306210,2.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,right
720575940629011655,720575940618224709,19.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940618517440,9.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940619519909,9.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940619723088,12.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940620172397,19.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,KCab,KCab-c,right
720575940629011655,720575940621207216,8.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940622800653,11.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940624375088,1.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940626729515,13.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940627854568,12.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940627854568,2.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940628201259,11.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940631756136,13.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940631782712,13.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,right
720575940629011655,720575940632169007,5.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940633300927,9.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940634975851,5.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940635884143,10.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940637225798,12.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,right
720575940629011655,720575940637737021,7.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940629011655,720575940653339041,6.0,ALPN,,VP1d_il2PN,left,Kenyon_Cell,,KCg-m,right
720575940610752068,720575940630578247,7.0,ALPN,"(M_adPNm4,M_adPNm5)b","M_adPNm4,M_adPNm5",left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940624039560,720575940630578247,3.0,ALPN,"(M_adPNm4,M_adPNm5)d","M_adPNm4,M_adPNm5",left,Kenyon_Cell,KCapbp-ap2,KCa'b'-ap2,left
720575940610752068,720575940631655737,16.0,ALPN,"(M_adPNm4,M_adPNm5)b","M_adPNm4,M_adPNm5",left,Kenyon_Cell,,KCg-m,left
720575940620465904,720575940631655737,18.0,ALPN,VC3_adPN,VC3l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940619928429,720575940631655737,28.0,ALPN,VC3_adPN,VC3l_adPN,left,Kenyon_Cell,,KCg-m,left
720575940620068518,720575940631655737,29.0,ALPN,,VA7m_lPN,left,Kenyon_Cell,,KCg-m,left
720575940620595053,720575940605171121,1.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940606621362,14.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940610945558,8.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940613782796,4.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940614845802,12.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940617963480,5.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940619259477,13.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940621023041,8.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940621554815,4.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,KCapbp-ap1,KCa'b'-ap1,right
720575940620595053,720575940622855560,6.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940623003917,7.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
720575940620595053,720575940626430339,1.0,ALPN,,VL1_ilPN,left,Kenyon_Cell,,KCg-m,right
